 n_tracks  m_inv_GeV  N_e  N_mu  N_K  N_p
        2   2.387516    0     0    0    1
        2   2.441993    0     0    0    0
        2   2.507012    0     0    0    2
        2   2.533206    0     0    0    0
        2   2.442300    0     0    0    1
        2   2.544543    0     0    0    1
        2   2.542510    0     0    0    0
        2   2.538280    0     0    0    2
        2   2.438214    0     0    0    0
        2   2.419879    0     0    0    1
        2   2.521516    0     0    0    1
        2   2.489633    0     0    0    0
        2   2.430322    0     0    0    0
        2   2.483478    0     0    0    1
        2   2.521014    0     0    0    1
        2   2.553010    0     0    0    1
        2   2.417713    0     0    0    0
        2   2.544180    0     0    0    1
        2   2.410068    0     0    0    2
        2   2.401389    0     0    0    1
        2   2.503055    0     0    0    2
        2   2.407905    0     0    0    2
        2   2.458030    0     0    0    2
        2   2.433445    0     0    0    0
        2   2.516045    0     0    0    0
        2   2.453241    0     0    0    0
        2   2.483020    0     0    0    0
        2   2.504082    0     0    0    0
        2   2.583236    0     0    0    0
        2   2.473136    0     0    0    0
        2   2.468906    0     0    0    2
        2   2.445775    0     0    0    2
        2   2.556592    0     0    0    0
        2   2.460348    0     0    0    0
        2   2.442786    0     0    0    2
        2   2.398600    0     0    0    0
        2   2.385235    0     0    0    0
        2   2.509003    0     0    0    0
        2   2.553977    0     0    0    0
        2   2.455149    0     0    0    0
        2   2.357522    0     0    0    0
        2   2.553154    0     0    0    1
        2   2.512561    0     0    0    2
        2   2.420821    0     0    0    0
        2   2.481175    0     0    0    1
        2   2.426114    0     0    0    0
        2   2.411839    0     0    0    0
        2   2.512215    0     0    0    2
        2   2.441005    0     0    0    2
        2   2.539702    0     0    0    2
        2   2.540976    0     0    0    0
        2   2.466048    0     0    0    1
        2   2.458014    0     0    0    2
        2   2.435344    0     0    0    0
        2   2.341512    0     0    0    0
        2   2.483340    0     0    0    0
        2   2.488010    0     0    0    1
        2   2.474395    0     0    0    1
        2   2.427643    0     0    0    1
        2   2.462460    0     0    0    1
        2   2.510831    0     0    0    1
        2   2.539542    0     0    0    1
        2   2.508411    0     0    0    1
        2   2.506460    0     0    0    1
        2   2.355973    0     0    0    1
        2   2.425533    0     0    0    0
        2   2.575908    0     0    0    1
        2   2.449129    0     0    0    1
        2   2.427884    0     0    0    0
        2   2.428255    0     0    0    1
        2   2.518733    0     0    0    0
        2   2.487015    0     0    0    1
        2   2.454099    0     0    0    0
        2   2.476454    0     0    0    2
        2   2.374441    0     0    0    1
        2   2.453798    0     0    0    1
        2   2.455307    0     0    0    1
        2   2.480735    0     0    0    1
        2   2.509177    0     0    0    1
        2   2.423031    0     0    0    1
        2   2.480160    0     0    0    0
        2   2.406751    0     0    0    1
        2   2.464715    0     0    0    1
        2   2.434438    0     0    0    0
        2   2.474508    0     0    0    0
        2   2.533140    0     0    0    2
        2   2.637187    0     0    0    1
        2   2.477087    0     0    0    0
        2   2.513692    0     0    0    1
        2   2.484640    0     0    0    1
        2   2.493634    0     0    0    1
        2   2.455745    0     0    0    1
        2   2.526907    0     0    0    0
        2   2.388010    0     0    0    0
        2   2.459077    0     0    0    0
        2   2.485188    0     0    0    0
        2   2.529752    0     0    0    0
        2   2.467717    0     0    0    1
        2   2.549204    0     0    0    0
        2   2.575957    0     0    0    1
        2   2.470260    0     0    0    2
        2   2.348243    0     0    0    1
        2   2.509507    0     0    0    1
        2   2.513471    0     0    0    0
        2   2.424418    0     0    0    0
        2   2.573917    0     0    0    2
        2   2.570171    0     0    0    0
        2   2.521702    0     0    0    0
        2   2.531581    0     0    0    0
        2   2.452307    0     0    0    0
        2   2.498363    0     0    0    1
        2   2.484865    0     0    0    1
        2   2.515608    0     0    0    1
        2   2.479217    0     0    0    0
        2   2.536788    0     0    0    1
        2   2.471862    0     0    0    0
        2   2.434326    0     0    0    1
        2   2.451187    0     0    0    2
        2   2.458113    0     0    0    1
        2   2.431420    0     0    0    0
        2   2.403298    0     0    0    0
        2   2.504577    0     0    0    1
        2   2.472574    0     0    0    0
        2   2.499680    0     0    0    0
        2   2.410940    0     0    0    2
        2   2.558052    0     0    0    0
        2   2.440064    0     0    0    1
        2   2.526455    0     0    0    0
        2   2.491352    0     0    0    0
        2   2.530734    0     0    0    0
        2   2.534721    0     0    0    1
        2   2.450791    0     0    0    0
        2   2.446760    0     0    0    1
        2   2.452204    0     0    0    1
        2   2.559663    0     0    0    0
        2   2.394353    0     0    0    1
        2   2.650866    0     0    0    2
        2   2.541074    0     0    0    1
        2   2.445611    0     0    0    2
        2   2.456677    0     0    0    1
        2   2.488087    1     0    0    0
        2   2.608340    0     0    0    0
        2   2.483305    0     0    0    1
        2   2.429472    0     0    0    0
        2   2.479478    0     0    0    1
        2   2.615927    0     0    0    2
        2   2.517297    0     0    0    1
        2   2.400073    0     0    0    0
        2   2.440253    0     0    0    1
        2   2.524626    0     0    0    2
        2   2.438850    0     0    0    0
        2   2.494589    0     0    0    1
        2   2.392696    0     0    0    0
        2   2.491861    0     0    0    1
        2   2.552625    0     0    0    2
        2   2.534086    0     0    0    0
        2   2.395165    0     0    0    1
        2   2.491869    0     0    0    2
        2   2.500483    0     0    0    1
        2   2.463081    0     0    0    1
        2   2.437783    0     0    0    1
        2   2.400033    0     0    0    2
        2   2.476054    0     0    0    0
        2   2.458797    0     0    0    1
        2   2.513350    0     0    0    1
        2   2.446766    0     0    0    0
        2   2.420186    0     0    0    2
        2   2.613293    0     0    0    2
        2   2.468302    0     0    0    0
        2   2.516765    0     0    0    1
        2   2.489903    0     0    0    0
        2   2.581269    0     0    0    0
        2   2.421307    0     0    0    1
        2   2.495580    0     0    0    0
        2   2.488438    0     0    0    1
        2   2.539365    0     0    0    1
        2   2.543827    0     0    0    2
        2   2.464480    0     0    0    1
        2   2.477559    0     0    0    1
        2   2.409714    0     0    0    2
        2   2.549817    0     0    0    0
        2   2.431029    0     0    0    1
        2   2.489213    0     0    0    1
        2   2.446914    0     0    0    0
        2   2.587213    0     0    0    1
        2   2.553088    0     0    0    0
        2   2.459609    0     0    0    2
        2   2.467152    0     0    0    1
        2   2.429209    0     0    0    2
        2   2.533985    0     0    0    1
        2   2.511475    0     0    0    0
        2   2.496151    0     0    0    1
        2   2.550552    0     0    0    1
        2   2.437473    0     0    0    1
        2   2.439289    0     0    0    1
        2   2.494635    0     0    0    2
        2   2.406012    0     0    0    1
        2   2.434301    0     0    0    1
        2   2.430471    0     0    0    0
        2   2.538349    0     0    0    0
        2   2.493509    0     0    0    0
        2   2.476030    0     0    0    1
        2   2.595423    0     0    0    0
        2   2.523540    0     0    0    0
        2   2.455465    0     0    0    1
        2   2.600228    0     0    0    0
        2   2.400662    0     0    0    0
        2   2.406327    0     0    0    1
        2   2.451651    0     0    0    0
        2   2.408240    0     0    0    2
        2   2.467498    0     0    0    1
        2   2.469605    0     0    0    0
        2   2.503485    0     0    0    0
        2   2.504108    0     0    0    0
        2   2.440814    0     0    0    1
        2   2.386103    0     0    0    0
        2   2.440759    0     0    0    0
        2   2.484931    0     0    0    2
        2   2.535584    0     0    0    0
        2   2.430150    0     0    0    0
        2   2.486633    0     0    0    1
        2   2.516446    0     0    0    1
        2   2.426578    0     0    0    1
        2   2.551285    0     0    0    1
        2   2.484554    0     0    0    0
        2   2.427951    0     0    0    0
        2   2.480921    0     0    0    0
        2   2.460083    0     0    0    1
        2   2.433585    0     0    0    1
        2   2.313052    0     0    0    2
        2   2.478708    0     0    0    1
        2   2.484049    0     0    0    2
        2   2.587648    0     0    0    0
        2   2.503013    0     0    0    1
        2   2.350165    0     0    0    1
        2   2.411651    0     0    0    1
        2   2.520416    0     0    0    1
        2   2.563183    0     0    0    1
        2   2.574142    0     0    0    1
        2   2.447916    0     0    0    1
        2   2.373777    0     0    0    0
        2   2.489593    0     0    0    1
        2   2.484372    0     0    0    0
